0.000000000000000000e+00 -2.000000000000000096e-04 5.230000000000000274e-03 8.099999999999999561e-04 0.000000000000000000e+00 3.556000000000000272e-01 3.588000000000000078e-01
5.000000000000000000e-01 5.650000000000000161e-02 5.279999999999999971e-03 8.400000000000000348e-04 5.000000000000000104e-04 2.777999999999999914e-01 4.329999999999999960e-01
1.000000000000000000e+00 1.140000000000000041e-01 5.530000000000000193e-03 9.700000000000000505e-04 8.000000000000000383e-04 1.955999999999999961e-01 4.786000000000000254e-01
1.500000000000000000e+00 1.718000000000000083e-01 5.899999999999999863e-03 1.160000000000000007e-03 1.100000000000000066e-03 1.150000000000000050e-01 5.066000000000000503e-01
2.000000000000000000e+00 2.288000000000000034e-01 6.409999999999999899e-03 1.449999999999999900e-03 1.600000000000000077e-03 2.790000000000000119e-02 5.295999999999999597e-01
2.500000000000000000e+00 2.892000000000000126e-01 6.660000000000000121e-03 1.629999999999999939e-03 1.699999999999999905e-03 1.030000000000000013e-02 5.384999999999999787e-01
3.000000000000000000e+00 3.504999999999999782e-01 6.850000000000000186e-03 1.809999999999999977e-03 1.699999999999999905e-03 1.000000000000000021e-02 5.427999999999999492e-01
3.500000000000000000e+00 4.112999999999999989e-01 7.040000000000000251e-03 2.000000000000000042e-03 1.799999999999999951e-03 9.599999999999999159e-03 5.520000000000000462e-01
4.000000000000000000e+00 4.719999999999999751e-01 7.259999999999999960e-03 2.220000000000000185e-03 1.899999999999999996e-03 9.400000000000000369e-03 5.584999999999999964e-01
4.500000000000000000e+00 5.320000000000000284e-01 7.459999999999999618e-03 2.469999999999999973e-03 2.200000000000000133e-03 9.100000000000000450e-03 5.770999999999999464e-01
5.000000000000000000e+00 5.917999999999999927e-01 7.720000000000000299e-03 2.759999999999999867e-03 2.599999999999999881e-03 8.899999999999999925e-03 5.913000000000000478e-01
5.500000000000000000e+00 6.513999999999999790e-01 8.049999999999999864e-03 3.099999999999999891e-03 3.000000000000000062e-03 8.500000000000000611e-03 5.986000000000000210e-01
